filename,condition,primacy-recency,side bias,safe bias,inverse temperature,curvature for gains,curvature for losses,
FLAGTASK_PARTICIPANT_SESSION_2022-02-28_17h14.38.619.csv,sub_final,1.050192572,-0.337051173,-0.203541117,0.022406822,6.74E-07,0.33546578,
FLAGTASK_PARTICIPANT_SESSION_2022-03-01_09h21.21.270.csv,sub_final,1.160217477,0.091629168,-0.773810004,0.019211925,0.913169883,0.839487683,
FLAGTASK_PARTICIPANT_SESSION_2022-03-02_11h38.56.809.csv,sub_final,0.943454837,0.240059568,-1.210087136,0.011653743,3.64E-06,2.79E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-03_15h52.54.407.csv,sub_final,0.934042332,-0.221793033,-0.828893292,0.031113445,0.633667539,5.66E-13,
FLAGTASK_PARTICIPANT_SESSION_2022-03-03_21h17.27.504.csv,sub_final,1.322885917,0.325173702,-0.244940619,0.016175529,0.744692784,1.25E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-04_23h03.15.465.csv,sub_final,0.46562203,259.637292,6.541153541,0.265602046,4.980463953,2.759205226,
FLAGTASK_PARTICIPANT_SESSION_2022-03-06_16h45.39.619.csv,sub_final,0.935236601,0.260545719,-0.223274607,0.027401499,0.679901019,9.18E-08,
FLAGTASK_PARTICIPANT_SESSION_2022-03-07_19h41.35.99.csv,sub_final,1.689739616,-0.014665239,-0.803419953,0.007124237,9.32E-06,5.35E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-03-08_17h08.55.983.csv,sub_final,1.201486214,-0.111005679,-1.026455303,0.017447333,0.913775042,1.30E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-03-09_13h01.24.386.csv,sub_final,0.824024205,0.006223234,-0.884231539,0.009708223,1.90E-05,2.66E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-23_10h20.33.118.csv,sub_final,1.357812219,-0.143932753,-1.613959542,0.014145305,0.652327615,0.824635024,
FLAGTASK_PARTICIPANT_SESSION_2022-03-23_23h28.37.981.csv,sub_final,1.352647803,0.287426253,-0.688620383,0.029061718,0.276712969,7.77E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-03-24_17h30.38.277.csv,sub_final,0.970507421,0.680569225,-0.965553495,0.070876805,0.80106621,4.94E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-03-24_20h06.03.842.csv,sub_final,0.52543037,0.101041571,-0.178878855,0.013245836,1.33E-05,0.080806748,
FLAGTASK_PARTICIPANT_SESSION_2022-03-28_17h14.41.969.csv,sub_final,1.568364012,-0.13998822,-0.723503588,0.012849278,0.528177129,3.95E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-03-28_19h25.47.386.csv,sub_final,1.107867585,-1.289024936,-0.203984573,0.004454877,2.94E-05,1.67E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-28_22h11.39.689.csv,sub_final,1.223136034,0.769771444,-0.752722137,0.063608978,0.602353747,0.128597056,
FLAGTASK_PARTICIPANT_SESSION_2022-03-29_16h42.23.320.csv,sub_final,1.189758425,0.424938246,-1.256957962,0.045186993,0.866751582,1.38E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-29_17h59.29.2.csv,sub_final,1.125501081,0.039236685,-0.823357516,0.033034344,0.322056533,1.25E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-29_18h32.10.839.csv,sub_final,0.980125426,2.138591347,0.443315081,0.000938993,8.28014994,6.286184882,
FLAGTASK_PARTICIPANT_SESSION_2022-03-30_12h43.53.365.csv,sub_final,1.08252572,0.210598483,-0.929702501,0.01786944,1.00E-05,0.206857395,
FLAGTASK_PARTICIPANT_SESSION_2022-03-30_15h15.46.939.csv,sub_final,1.530143369,0.303405719,-0.175754285,0.017811042,0.805697278,0.724117421,
FLAGTASK_PARTICIPANT_SESSION_2022-03-30_15h36.39.77.csv,sub_final,0.739523014,0.056929793,-0.818772186,0.049445341,0.319588473,1.56E-08,
FLAGTASK_PARTICIPANT_SESSION_2022-03-30_17h17.15.469.csv,sub_final,0.088810111,0.179487022,0.058632474,0.002531916,9.998576672,0.715718728,
FLAGTASK_PARTICIPANT_SESSION_2022-03-30_21h20.55.384.csv,sub_final,0.896010601,-0.109012238,-1.655415794,0.021014468,1.02E-05,1.56E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-03-31_01h35.27.760.csv,sub_final,1.23044517,0.230200888,-0.773585999,0.018935998,0.301360876,0.552827369,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_13h44.47.618.csv,sub_final,17.29136069,1.592762554,-0.17752844,0.00583999,0.020757082,0.001192054,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_13h49.21.133.csv,sub_final,1.063017447,0.248724522,0.238218645,0.033793533,0.950796216,0.742264224,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_15h17.07.494.csv,sub_final,0.770059654,-0.036322949,0.246618675,0.015501905,0.869455986,0.648857861,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_17h06.35.744.csv,sub_final,1.02617654,-0.01817975,-0.027686074,0.031001484,0.358415144,2.38E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_17h55.06.881.csv,sub_final,1.265700487,0.243589835,0.417823413,0.030318036,0.712980371,0.634303121,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_19h10.27.91.csv,sub_final,0.930022496,0.215605205,0.469443324,0.01278045,1.43E-05,1.14E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_19h40.46.288.csv,sub_final,1.035556809,0.036204541,-0.770515628,0.0253855,1.017122912,0.43492763,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_20h08.16.604.csv,sub_final,1.236138529,0.131693508,-0.410399449,0.036355325,0.695756443,0.603444863,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_20h31.57.271.csv,sub_final,0.725908062,-0.275878023,-0.776674423,0.017062501,0.636524246,2.29E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_20h38.15.999.csv,sub_final,0.995477348,0.170405347,-0.373057948,0.018139413,0.547848458,0.638131663,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_21h40.53.165.csv,sub_final,0.974044268,-0.406581665,-0.010300645,0.022215873,1.664071691,0.000939788,
FLAGTASK_PARTICIPANT_SESSION_2022-04-01_22h55.14.547.csv,sub_final,1.042935306,0.109622341,-0.145169382,0.009610082,4.59E-06,3.29E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-02_00h30.30.615.csv,sub_final,1.63821286,-0.395144516,-0.330496964,0.007404876,0.876032394,1.117717436,
FLAGTASK_PARTICIPANT_SESSION_2022-04-02_10h03.21.445.csv,sub_final,1.385453857,-0.320763656,-0.47264472,0.01933047,1.165898988,0.450628965,
FLAGTASK_PARTICIPANT_SESSION_2022-04-02_15h54.40.152.csv,sub_final,1.049930495,-0.161067403,-0.789986054,0.014103494,1.065473086,1.101189826,
FLAGTASK_PARTICIPANT_SESSION_2022-04-05_14h06.02.691.csv,sub_final,1.396229013,0.410727601,-0.486266926,0.057815563,0.63789551,0.293970958,
FLAGTASK_PARTICIPANT_SESSION_2022-04-06_13h32.32.582.csv,sub_final,1.596154296,0.010513823,0.131006186,0.027397441,0.722523769,0.700696203,
FLAGTASK_PARTICIPANT_SESSION_2022-04-06_13h41.56.825.csv,sub_final,1.171316655,-0.022436155,-1.871602194,0.007173535,0.254795424,1.07E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-07_19h06.29.563.csv,sub_final,1.284304392,0.891682001,-1.081359611,0.033029276,0.579027354,0.64465151,
FLAGTASK_PARTICIPANT_SESSION_2022-04-07_21h14.07.582.csv,sub_final,1.101286853,0.419030704,-1.463802816,0.035591896,0.847634998,0.46312057,
FLAGTASK_PARTICIPANT_SESSION_2022-04-08_16h17.09.169.csv,sub_final,1.092009838,0.025635862,0.119758558,0.042918705,0.313609239,9.46E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-08_18h06.07.506.csv,sub_final,0.6670249,0.395926242,-0.535253841,0.019595005,4.66E-06,2.86E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-08_22h18.45.265.csv,sub_final,1.544428972,-0.445087574,-0.567798779,0.021950933,0.31402581,7.47E-08,
FLAGTASK_PARTICIPANT_SESSION_2022-04-09_22h42.45.148.csv,sub_final,1.054739933,0.061240426,-0.262186211,0.021823371,0.338845142,0.684237526,
FLAGTASK_PARTICIPANT_SESSION_2022-04-10_15h24.06.347.csv,sub_final,99.89050582,3.472691566,-1.013407043,0.004234163,8.189048586,9.118148672,
FLAGTASK_PARTICIPANT_SESSION_2022-04-10_18h00.37.939.csv,sub_final,1.124285391,0.299381271,-0.19809165,0.050723105,0.633478064,1.45E-10,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_10h19.13.284.csv,sub_final,10.09509052,-0.137288436,0.00853395,0.021088554,2.12E-06,0.046517905,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_12h23.55.798.csv,sub_final,0.814458053,0.216662391,-0.370469018,0.01421382,1.80E-05,2.55E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_12h45.21.92.csv,sub_final,1.007951656,-0.014033592,-0.234146483,0.016181355,0.645821835,0.512028394,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_14h52.53.746.csv,sub_final,0.940752957,-0.566766678,-0.971068441,0.033177388,1.71E-05,1.24E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_14h59.34.968.csv,sub_final,1.255058671,-0.278224243,-0.420029566,0.020682938,4.19E-06,0.271655271,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_16h34.58.461.csv,sub_final,1.680502364,-0.102426346,-1.014328906,0.016463134,0.025223534,7.36E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_18h02.58.50.csv,sub_final,1.246652551,0.31619709,-1.91308739,0.036885552,0.68121164,0.320294406,
FLAGTASK_PARTICIPANT_SESSION_2022-04-11_18h20.18.494.csv,sub_final,1.280775047,0.221827997,-0.891426556,0.020210306,1.60E-05,0.215276209,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_11h20.12.738.csv,sub_final,0.823167072,-0.05645971,-1.709265268,0.05192025,3.42E-07,2.54E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_14h42.50.662.csv,sub_final,0.889465141,0.159304036,-1.576250124,0.052248281,0.575496444,2.34E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_14h44.42.931.csv,sub_final,1.278477362,-0.025497654,-0.925301723,0.013379456,1.20E-06,1.17E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_15h10.41.366.csv,sub_final,0.879362145,-0.243948374,-0.606717822,0.034621259,0.90508821,0.626412497,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_16h54.54.114.csv,sub_final,1.362804624,-0.005548221,-0.384979325,0.025380459,1.208630253,1.46E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_18h00.47.167.csv,sub_final,0.996731759,0.038809004,-0.379191326,0.034102254,3.36E-05,6.00E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_18h36.14.792.csv,sub_final,1.138498119,0.653692073,-1.062378096,0.044687699,0.85613006,0.698282193,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_19h05.32.935.csv,sub_final,1.201771374,0.318423138,-1.104227293,0.016314309,3.97E-06,4.80E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_20h28.24.93.csv,sub_final,0.968460191,0.241933681,-0.149780031,0.028295883,0.977004956,2.20E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-12_21h37.27.507.csv,sub_final,1.457433337,1.044804651,-0.807476804,0.011303181,6.98E-06,0.151933916,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_10h30.15.257.csv,sub_final,0.896271343,-0.533382031,-1.24220106,0.019514153,0.148987874,8.70E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_15h36.17.616.csv,sub_final,0.986939832,0.212264805,-0.09367581,0.037304336,2.034087049,2.01E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_16h59.23.535.csv,sub_final,0.936821911,0.785320559,-0.809637197,0.068103561,0.834784999,0.079626627,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_18h32.06.407.csv,sub_final,0.945321513,0.136287727,-0.543507043,0.035826964,0.810692162,1.92E-12,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_21h15.57.671.csv,sub_final,1.046372267,0.00483456,-0.210602935,0.020657142,0.363931245,2.66E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_22h38.38.320.csv,sub_final,1.151474705,-0.096626939,-0.137022973,0.019398703,0.657688686,2.13E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-13_23h51.24.213.csv,sub_final,0.576458047,0.172486666,-0.778260344,0.010454529,5.90E-06,0.33584325,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_10h43.30.280.csv,sub_final,1.511799865,-0.841986004,-0.894095473,0.027958676,2.04E-05,0.53259255,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_13h01.34.860.csv,sub_final,1.303771227,0.497612525,-0.196562053,0.033473052,1.185803743,1.67E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_14h46.10.986.csv,sub_final,1.265140633,0.239858162,-0.35460543,0.049299538,0.547795566,5.76E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_15h04.23.636.csv,sub_final,1.209681731,0.118180027,-0.923024998,0.035667298,0.651977715,1.52E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_15h37.15.98.csv,sub_final,0.983268411,0.114235638,-0.437199657,0.027925523,0.73868113,0.652911487,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_15h39.07.485.csv,sub_final,0.931711399,0.040570677,-0.658700116,0.032831832,1.081237909,1.177392118,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_18h04.29.780.csv,sub_final,0.701727647,0.158686477,-1.806906642,0.010153312,4.76E-05,4.23E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_19h02.26.818.csv,sub_final,1.023888996,-0.495035166,-0.735514833,0.031841183,0.332299752,0.973358077,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_20h21.32.355.csv,sub_final,1.389655096,-0.091424111,-1.030140047,-0.015578131,3.59E-06,0.417768374,
FLAGTASK_PARTICIPANT_SESSION_2022-04-14_23h05.17.734.csv,sub_final,2.108159365,-0.21785697,-0.036219585,0.011006445,0.125008232,2.48E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_11h27.48.421.csv,sub_final,1.209554822,0.92072184,-0.982668096,0.057927916,0.548161793,1.91E-11,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_11h31.41.53.csv,sub_final,1.20225796,0.322985582,-0.506522399,0.015091819,1.143840836,0.882429593,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_11h58.12.167.csv,sub_final,1.34449645,-0.361295932,-1.374015492,0.011783512,0.754941052,0.806550023,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_12h49.32.812.csv,sub_final,1.050047414,-0.22343121,-0.656966755,0.034869726,0.435774842,0.005745765,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_13h11.54.435.csv,sub_final,0.431121605,-0.176083114,-0.355451418,0.006744874,0.006053711,0.046853354,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_14h56.26.23.csv,sub_final,1.144324935,0.245981755,-0.811421941,0.028993327,0.609831492,1.63E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_15h11.54.535.csv,sub_final,2.080034824,-0.240466956,-0.108243353,0.01386766,0.010596156,6.34E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_15h37.31.241.csv,sub_final,0.010000021,-2.485513911,0.394462001,0.004288667,2.719053118,0.070271716,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_15h48.44.2.csv,sub_final,1.492992688,-0.440952729,-0.180711179,0.00473328,1.180152577,0.407009103,
